c_e,c_I,dist
Ala,AB,3173.32
Ala,BC,3567.81
Ala,MN,2151.17
Ala,NB,2258.49
Ala,Nfld,3292.1
Ala,NS,2389.5
Ala,ON,1400.15
Ala,PEI,2508.92
Ala,Que,2054.46
Ala,SK,2510.75
Ala,Ala,0
Ala,Ari,2406.34
Ala,Cal,3243.43
Ala,Flo,284.28
Ala,Geo,233.99
Ala,Ida,2889.29
Ala,Ill,880.14
Ala,Ind,826.31
Ala,Ken,662.35
Ala,Lou,506.51
Ala,Mai,1959.32
Ala,Mry,1149.93
Ala,Mas,1744.51
Ala,Mic,1162.68
Ala,Min,1520.67
Ala,MO ,874.65
Ala,Mon,2700.69
Ala,NHm,1768.11
Ala,NJr,1352.83
Ala,Nyr,1588.14
Ala,Nca,801.65
Ala,Nda,2025.72
Ala,Ohi,899.84
Ala,Pen,1218.6
Ala,Ten,427.41
Ala,Tex,1113.28
Ala,Ver,1781.95
Ala,Vir,988.35
Ala,Was,3492.94
Ala,Wis,1224.57
Ari,AB,2204.81
Ari,BC,1906.49
Ari,MN,2196.93
Ari,NB,4071.83
Ari,Nfld,5124.68
Ari,NS,4296.79
Ari,ON,3033.3
Ari,PEI,4336.42
Ari,Que,3721.79
Ari,SK,1980.78
Ari,Ala,2406.34
Ari,Ari,0
Ari,Cal,1012.98
Ari,Flo,2637.93
Ari,Geo,2554.4
Ari,Ida,1176.81
Ari,Ill,2112.81
Ari,Ind,2407.14
Ari,Ken,2498.71
Ari,Lou,2003.6
Ari,Mai,3810.29
Ari,Mry,3228.35
Ari,Mas,3696.07
Ari,Mic,2601.83
Ari,Min,2061.43
Ari,MO ,1870.3
Ari,Mon,1453.17
Ari,NHm,3656.05
Ari,NJr,3377.93
Ari,Nyr,3469.91
Ari,Nca,3054.32
Ari,Nda,1757.86
Ari,Ohi,2677.75
Ari,Pen,3198
Ari,Ten,2321.66
Ari,Tex,1398.89
Ari,Ver,3584.01
Ari,Vir,3147.37
Ari,Was,1757.62
Ari,Wis,2237.65
Cal,AB,1758.61
Cal,BC,1110.76
Cal,MN,2300.18
Cal,NB,4512.7
Cal,Nfld,5496.71
Cal,NS,4761.33
Cal,ON,3533.18
Cal,PEI,4761.11
Cal,Que,4137.09
Cal,SK,1878.47
Cal,Ala,3243.43
Cal,Ari,1012.98
Cal,Cal,0
Cal,Flo,3502.63
Cal,Geo,3348.93
Cal,Ida,712.51
Cal,Ill,2735.11
Cal,Ind,3031.42
Cal,Ken,3172.96
Cal,Lou,2910.81
Cal,Mai,4292.03
Cal,Mry,3862.17
Cal,Mas,4231.36
Cal,Mic,3126.82
Cal,Min,2445.83
Cal,MO ,2537.2
Cal,Mon,1180.88
Cal,NHm,4168.76
Cal,NJr,3975.08
Cal,Nyr,4000.29
Cal,Nca,3774.13
Cal,Nda,1917.88
Cal,Ohi,3293.79
Cal,Pen,3797.87
Cal,Ten,3061.75
Cal,Tex,2354.86
Cal,Ver,4069.65
Cal,Vir,3820.87
Cal,Was,950.56
Cal,Wis,2731.36
Flo,AB,3455.09
Flo,BC,3850.47
Flo,MN,2418.51
Flo,NB,2298.1
Flo,Nfld,3294.83
Flo,NS,2400.21
Flo,ON,1537.76
Flo,PEI,2535.22
Flo,Que,2137.34
Flo,SK,2790.1
Flo,Ala,284.28
Flo,Ari,2637.93
Flo,Cal,3502.63
Flo,Flo,0
Flo,Geo,368.25
Flo,Ida,3166.76
Flo,Ill,1146.53
Flo,Ind,1051.16
Flo,Ken,862.58
Flo,Lou,656.73
Flo,Mai,2003.95
Flo,Mry,1184.26
Flo,Mas,1773.57
Flo,Mic,1364.11
Flo,Min,1787.85
Flo,MO ,1157.55
Flo,Mon,2984.33
Flo,NHm,1813.94
Flo,NJr,1386.99
Flo,Nyr,1647.98
Flo,Nca,794.25
Flo,Nda,2306.71
Flo,Ohi,1067.56
Flo,Pen,1281.66
Flo,Ten,677.35
Flo,Tex,1292.82
Flo,Ver,1849.51
Flo,Vir,1006.71
Flo,Was,3774.13
Flo,Wis,1476.32
Geo,AB,3148.71
Geo,BC,3600.21
Geo,MN,2077.94
Geo,NB,2025.33
Geo,Nfld,3058.23
Geo,NS,2155.57
Geo,ON,1190.19
Geo,PEI,2275.12
Geo,Que,1827.51
Geo,SK,2475.08
Geo,Ala,233.99
Geo,Ari,2554.4
Geo,Cal,3348.93
Geo,Flo,368.25
Geo,Geo,0
Geo,Ida,2950.48
Geo,Ill,815.54
Geo,Ind,686.79
Geo,Ken,494.52
Geo,Lou,731.62
Geo,Mai,1726.36
Geo,Mry,915.95
Geo,Mas,1510.59
Geo,Mic,995.95
Geo,Min,1450.11
Geo,MO ,879.15
Geo,Mon,2726.36
Geo,NHm,1535.08
Geo,NJr,1118.89
Geo,Nyr,1356.34
Geo,Nca,574.49
Geo,Nda,2000.67
Geo,Ohi,704.73
Geo,Pen,986.42
Geo,Ten,343.96
Geo,Tex,1314.14
Geo,Ver,1551.59
Geo,Vir,755.29
Geo,Was,3535.26
Geo,Wis,1123.36
Ida,AB,1103.77
Ida,BC,770.14
Ida,MN,1611.17
Ida,NB,3876.98
Ida,Nfld,4829.74
Ida,NS,4131.23
Ida,ON,2939.8
Ida,PEI,4116.73
Ida,Que,3497.45
Ida,SK,1167.9
Ida,Ala,2889.29
Ida,Ari,1176.81
Ida,Cal,712.51
Ida,Flo,3166.76
Ida,Geo,2950.48
Ida,Ida,0
Ida,Ill,2240.12
Ida,Ind,2522.27
Ida,Ken,2689.68
Ida,Lou,2651.92
Ida,Mai,3675.25
Ida,Mry,3330.1
Ida,Mas,3639.05
Ida,Mic,2558.23
Ida,Min,1842.65
Ida,MO ,2084.76
Ida,Mon,468.89
Ida,NHm,3567.3
Ida,NJr,3419.33
Ida,Nyr,3410.17
Ida,Nca,3300.97
Ida,Nda,1261.27
Ida,Ohi,2768.85
Ida,Pen,3247.97
Ida,Ten,2631.22
Ida,Tex,2202.72
Ida,Ver,3458.27
Ida,Vir,3314.59
Ida,Was,646.6
Ida,Wis,2164.1
Ill,AB,2336.06
Ill,BC,2834.09
Ill,MN,1272.27
Ill,NB,1995.42
Ill,Nfld,3067.12
Ill,NS,2203.24
Ill,ON,955.29
Ill,PEI,2263.36
Ill,Que,1677.57
Ill,SK,1660.31
Ill,Ala,880.14
Ill,Ari,2112.81
Ill,Cal,2735.11
Ill,Flo,1146.53
Ill,Geo,815.54
Ill,Ida,2240.12
Ill,Ill,0
Ill,Ind,299.28
Ill,Ken,449.79
Ill,Lou,1047.56
Ill,Mai,1717.18
Ill,Mry,1133.39
Ill,Mas,1585.81
Ill,Mic,536.27
Ill,Min,641.48
Ill,MO ,257.65
Ill,Mon,1959.54
Ill,NHm,1552.36
Ill,NJr,1268.36
Ill,Nyr,1362.78
Ill,Nca,1061.07
Ill,Nda,1191.06
Ill,Ohi,568.99
Ill,Pen,1088.12
Ill,Ten,473.7
Ill,Tex,1286.47
Ill,Ver,1494.11
Ill,Vir,1086.25
Ill,Was,2783.87
Ill,Wis,367.8
Ind,AB,2541.8
Ind,BC,3091.38
Ind,MN,1420.25
Ind,NB,1731.58
Ind,Nfld,2805.34
Ind,NS,1928.31
Ind,ON,710.61
Ind,PEI,1999.22
Ind,Que,1434.93
Ind,SK,1860.76
Ind,Ala,826.31
Ind,Ari,2407.14
Ind,Cal,3031.42
Ind,Flo,1051.16
Ind,Geo,686.79
Ind,Ida,2522.27
Ind,Ill,299.28
Ind,Ind,0
Ind,Ken,208.42
Ind,Lou,1132.51
Ind,Mai,1445.44
Ind,Mry,834.22
Ind,Mas,1299.58
Ind,Mic,352.6
Ind,Min,811.14
