c_e,c_I,vx,l_ex,l_im
Ala ,Ala ,15549307219,1,1
Ala ,Ari ,132984092,1,1
Ala ,Cal,1280165925,1,1
Ala ,Flo,2700042764,1,1
Ala ,Geo,3546069962,1,1
Ala ,Ida,16558330,1,1
Ala ,Ill,1324148991,1,1
Ala ,Ind,614728019,1,1
Ala ,Ken,753921485,1,1
Ala ,Lou,1024029251,1,1
Ala ,Mai,88483579,1,1
Ala ,Mry,338928327,1,1
Ala ,Mas,295980157,1,1
Ala ,Mic,1243944577,1,1
Ala ,Min,374632227,1,1
Ala ,MO ,774619398,1,1
Ala ,Mon,30529422,1,1
Ala ,NHm,40360931,1,1
Ala ,NJr,477604345,1,1
Ala ,Nyr,765822785,1,1
Ala ,Nca,1467482039,1,1
Ala ,Nda,20697913,1,1
Ala ,Ohi,1197374273,1,1
Ala ,Pen,846544646,1,1
Ala ,Ten ,2655024803,1,1
Ala ,Tex,1957505132,1,1
Ala ,Ver,21215361,1,1
Ala ,Vir,604896510,1,1
Ala ,Was,0,1,1
Ala ,Wis,502959288,1,1
Ari,Ala ,111768731,1,1
Ari,Ari ,15146732809,1,1
Ari,Cal,5902009921,1,1
Ari,Flo,329096818,1,1
Ari,Geo,375667123,1,1
Ari,Ida,31046870,1,1
Ari,Ill,533488710,1,1
Ari,Ind,496749914,1,1
Ari,Ken,0,1,1
Ari,Lou,55366918,1,1
Ari,Mai,5691926,1,1
Ari,Mry,102454670,1,1
Ari,Mas,176967157,1,1
Ari,Mic,201287205,1,1
Ari,Min,186281218,1,1
Ari,MO ,184728874,1,1
Ari,Mon,28459631,1,1
Ari,NHm,11901300,1,1
Ari,NJr,173862470,1,1
Ari,Nyr,720287376,1,1
Ari,Nca,137641122,1,1
Ari,Nda,0,1,1
Ari,Ohi,438795758,1,1
Ari,Pen,243200479,1,1
Ari,Ten ,360143688,1,1
Ari,Tex,3014133596,1,1
Ari,Ver,5174478,1,1
Ari,Vir,156269244,1,1
Ari,Was,368940301,1,1
Ari,Wis,136088779,1,1
Cal,Ala ,1378481013,1,1
Cal,Ari ,9527766849,1,1
Cal,Cal,202315891208,1,1
Cal,Flo,6024127609,1,1
Cal,Geo,4437115121,1,1
Cal,Ida,1101646425,1,1
Cal,Ill,6563308245,1,1
Cal,Ind,2112222032,1,1
Cal,Ken,834643346,1,1
Cal,Lou,1078878720,1,1
Cal,Mai,138676018,1,1
Cal,Mry,2510139412,1,1
Cal,Mas,5368003763,1,1
Cal,Mic,3715275402,1,1
Cal,Min,1877818166,1,1
Cal,MO ,2275218098,1,1
Cal,Mon,407748888,1,1
Cal,NHm,481226480,1,1
Cal,NJr,5320916011,1,1
Cal,Nyr,7668576805,1,1
Cal,Nca,2091006671,1,1
Cal,Nda,0,1,1
Cal,Ohi,3571424906,1,1
Cal,Pen,3325119740,1,1
Cal,Ten ,2218816285,1,1
Cal,Tex,11973225282,1,1
Cal,Ver,0,1,1
Cal,Vir,2218298837,1,1
Cal,Was,8403352720,1,1
Cal,Wis,1729828088,1,1
Flo ,Ala ,1191164899,1,1
Flo ,Ari ,363248375,1,1
Flo ,Cal,2881666952,1,1
Flo ,Flo,56265724427,1,1
Flo ,Geo,3606611358,1,1
Flo ,Ida,36221348,1,1
Flo ,Ill,1031273520,1,1
Flo ,Ind,545390010,1,1
Flo ,Ken,405679097,1,1
Flo ,Lou,810840746,1,1
Flo ,Mai,63128635,1,1
Flo ,Mry,584198597,1,1
Flo ,Mas,820154807,1,1
Flo ,Mic,968144885,1,1
Flo ,Min,465703045,1,1
Flo ,MO ,532453815,1,1
Flo ,Mon,36738796,1,1
Flo ,NHm,73995039,1,1
Flo ,NJr,1309143004,1,1
Flo ,Nyr,1932667636,1,1
Flo ,Nca,1189095108,1,1
Flo ,Nda,41913274,1,1
Flo ,Ohi,1220659425,1,1
Flo ,Pen,1076291481,1,1
Flo ,Ten ,934510777,1,1
Flo ,Tex,3883963394,1,1
Flo ,Ver,43983065,1,1
Flo ,Vir,1156495895,1,1
Flo ,Was,338928327,1,1
Flo ,Wis,399987171,1,1
Geo,Ala ,6048965104,1,1
Geo,Ari ,354969210,1,1
Geo,Cal,2709356825,1,1
Geo,Flo,12494812692,1,1
Geo,Geo,36051107595,1,1
Geo,Ida,52262231,1,1
Geo,Ill,1961127267,1,1
Geo,Ind,865690216,1,1
Geo,Ken,1800200992,1,1
Geo,Lou,1946638727,1,1
Geo,Mai,136088779,1,1
Geo,Mry,798421998,1,1
Geo,Mas,1015750086,1,1
Geo,Mic,1623233835,1,1
Geo,Min,535558502,1,1
Geo,MO ,1083535751,1,1
Geo,Mon,29494526,1,1
Geo,NHm,87448683,1,1
Geo,NJr,1666182005,1,1
Geo,Nyr,1945603832,1,1
Geo,Nca,6716472802,1,1
Geo,Nda,40878378,1,1
Geo,Ohi,2285049607,1,1
Geo,Pen,2063581936,1,1
Geo,Ten ,6584006158,1,1
Geo,Tex,3731316285,1,1
Geo,Ver,60541396,1,1
Geo,Vir,2022186110,1,1
Geo,Was,457423880,1,1
Geo,Wis,816532672,1,1
Ida,Ala ,17075778,1,1
Ida,Ari ,77617174,1,1
Ida,Cal,1314834930,1,1
Ida,Flo,131431748,1,1
Ida,Geo,120565344,1,1
Ida,Ida,2719705782,1,1
Ida,Ill,205944235,1,1
Ida,Ind,65198426,1,1
Ida,Ken,20697913,1,1
Ida,Lou,51744783,1,1
Ida,Mai,3622135,1,1
Ida,Mry,72442696,1,1
Ida,Mas,36738796,1,1
Ida,Mic,116425761,1,1
Ida,Min,77617174,1,1
Ida,MO ,146437735,1,1
Ida,Mon,129361957,1,1
Ida,NHm,0,1,1
Ida,NJr,76582278,1,1
Ida,Nyr,117460657,1,1
Ida,Nca,55884365,1,1
Ida,Nda,8279165,1,1
Ida,Ohi,92105713,1,1
Ida,Pen,0,1,1
Ida,Ten ,93140609,1,1
Ida,Tex,219397879,1,1
Ida,Ver,0,1,1
Ida,Vir,82791652,1,1
Ida,Was,506063975,1,1
Ida,Wis,100384879,1,1
Ill,Ala ,934510777,1,1
Ill,Ari ,938650359,1,1
Ill,Cal,7167687308,1,1
Ill,Flo,3077779678,1,1
Ill,Geo,3922254533,1,1
Ill,Ida,325474684,1,1
Ill,Ill,61012273349,1,1
Ill,Ind,9163483579,1,1
Ill,Ken,2235374615,1,1
Ill,Lou,2390608963,1,1
Ill,Mai,159373931,1,1
Ill,Mry,1029203729,1,1
Ill,Mas,1766566883,1,1
Ill,Mic,9059994013,1,1
Ill,Min,5495295929,1,1
Ill,MO ,6508976223,1,1
Ill,Mon,370492645,1,1
Ill,NHm,258723914,1,1
Ill,NJr,2691246151,1,1
Ill,Nyr,4051616490,1,1
Ill,Nca,2045988710,1,1
Ill,Nda,547977249,1,1
Ill,Ohi,10342229730,1,1
Ill,Pen,3949679268,1,1
Ill,Ten ,2617251112,1,1
Ill,Tex,7047639412,1,1
Ill,Ver,105559357,1,1
Ill,Vir,2244171228,1,1
Ill,Was,1201513856,1,1
Ill,Wis,9340450736,1,1
Ind,Ala ,825846733,1,1
Ind,Ari ,461563462,1,1
Ind,Cal,3660425932,1,1
Ind,Flo,1738624701,1,1
Ind,Geo,1762944749,1,1
Ind,Ida,57954157,1,1
Ind,Ill,8485626924,1,1
Ind,Ind,26234087410,1,1
Ind,Ken,3445167636,1,1
Ind,Lou,947446972,1,1
Ind,Mai,90035922,1,1
Ind,Mry,1055593568,1,1
Ind,Mas,540215532,1,1
Ind,Mic,9067755730,1,1
Ind,Min,1009023264,1,1
Ind,MO ,2756444577,1,1
Ind,Mon,0,1,1
Ind,NHm,109698939,1,1
Ind,NJr,1395556791,1,1
Ind,Nyr,2446493329,1,1
Ind,Nca,1639792166,1,1
Ind,Nda,91588265,1,1
Ind,Ohi,7398986486,1,1
Ind,Pen,2077553028,1,1
Ind,Ten ,1516639583,1,1
Ind,Tex,3001714848,1,1
Ind,Ver,31564317,1,1
Ind,Vir,1110960486,1,1
Ind,Was,494680123,1,1
Ind,Wis,1933702532,1,1
Ken,Ala ,694932432,1,1
Ken,Ari ,122117687,1,1
Ken,Cal,3175577318,1,1
Ken,Flo,2172245980,1,1
Ken,Geo,2337311837,1,1
Ken,Ida,0,1,1
Ken,Ill,2528250086,1,1
Ken,Ind,3064326035,1,1
Ken,Ken,14133569962,1,1
Ken,Lou,690792850,1,1
Ken,Mai,123152583,1,1
Ken,Mry,867760007,1,1
Ken,Mas,538145741,1,1
Ken,Mic,2744025830,1,1
