lag0,lag1,lag2,iprice,gprice,usprice,income,time,timesq,x1,x2,y,z0,z1,z2








-5.076032,-10.05957,-30.38592,7.83122,7.860198,4.607852,3.641584,1,0.001,0.9662683,4.218614,4.189636,-23.28395,-46.47541,-139.6334
-4.910481,-9.619231,-28.59042,7.818832,8.087799,4.631034,3.67384,2,0.004,0.9571943,4.413959,4.144992,-23.27968,-46.35763,-138.8056
-5.021227,-9.814421,-29.14348,7.835975,8.089866,4.670183,3.75062,3,0.009,0.9195623,4.339245,4.085355,-23.77433,-47.32063,-141.6621
-5.164753,-10.14473,-30.26109,7.898411,8.135801,4.693404,3.574195,4,0.016,1.119208,4.561606,4.324215,-23.03573,-45.88669,-137.487
-5.235514,-10.39198,-31.10827,7.920083,8.263611,4.718734,3.617424,5,0.025,1.10131,4.646187,4.302659,-23.32263,-46.56622,-139.631
-5.240741,-10.3928,-30.93473,7.914252,8.338483,4.730727,3.688516,6,0.036,1.042211,4.649967,4.225736,-23.68332,-47.27796,-141.5902
-5.311155,-10.62502,-31.8989,7.962764,8.414223,4.741867,3.818972,7,0.049,0.9228952,4.595251,4.143792,-24.40601,-48.81474,-146.468
-5.341247,-10.64274,-31.99291,7.92371,8.30742,4.761914,3.865204,8,0.064,0.8967099,4.442215,4.058506,-24.66727,-49.29478,-147.9491
-5.344325,-10.58995,-31.66903,7.926241,8.366656,4.774611,3.986635,9,0.081,0.7879755,4.380021,3.939606,-25.2775,-50.4563,-151.2681
-5.364242,-10.66785,-31.86111,7.946971,8.442489,4.789002,3.948642,10,0.1,0.8403609,4.493847,3.998329,-25.10745,-50.15426,-150.3204
-5.364676,-10.7908,-32.33506,7.98105,8.455836,4.80225,3.978985,11,0.121,0.8232653,4.476851,4.002066,-25.2596,-50.58065,-151.7046
-5.349802,-10.80467,-32.5273,7.999007,8.439798,4.815629,4.063883,12,0.144,0.7517462,4.375915,3.935124,-25.66922,-51.4435,-154.4438
-5.293578,-10.72037,-32.29633,8.018296,8.624374,4.823697,4.177513,13,0.169,0.6461835,4.446861,3.840783,-26.18114,-52.4955,-157.6217
-5.199325,-10.58495,-31.88568,8.06054,8.60778,4.841358,4.137529,14,0.196,0.7038288,4.470252,3.923011,-25.88697,-51.96024,-156.0116
-5.082461,-10.40848,-31.37593,8.124447,8.523795,4.860718,4.15083,15,0.225,0.709888,4.372965,3.973617,-25.83661,-51.91678,-155.9008
-4.918587,-10.25237,-31.08249,8.173858,8.607247,4.873097,4.206072,16,0.256,0.6670251,4.401175,3.967786,-25.94895,-52.31309,-157.2646
-4.706956,-9.889626,-30.09916,8.239858,8.615681,4.892202,4.174806,17,0.289,0.7173963,4.440875,4.065052,-25.58098,-51.63768,-155.3433
-4.449622,-9.453384,-28.86938,8.321422,8.677229,4.913405,4.263429,18,0.324,0.6499758,4.4138,4.057992,-25.76677,-52.08768,-156.7723
-4.113404,-8.984533,-27.5549,8.402455,8.766696,4.928411,4.30471,19,0.361,0.6237011,4.461986,4.097745,-25.63696,-52.03164,-156.6962
-3.798513,-8.326242,-25.70008,8.484464,8.821902,4.948956,4.318048,20,0.4,0.6309071,4.503854,4.166415,-25.38876,-51.50673,-155.2415
-3.614291,-7.705786,-23.9771,8.506537,8.759649,4.96724,4.326046,21,0.441,0.6411939,4.433603,4.180491,-25.24452,-50.96625,-153.7585
-3.5512,-7.087461,-21.74053,8.402231,8.617936,4.987511,4.258015,22,0.484,0.729496,4.359921,4.144216,-24.84128,-49.66761,-149.481
-3.517719,-6.648509,-19.61524,8.376782,8.658892,5.010013,4.273251,23,0.529,0.736762,4.385641,4.103531,-24.88397,-49.38102,-147.8128
-3.755692,-6.978287,-20.39092,8.438366,8.754584,5.024383,4.299091,24,0.576,0.7252917,4.455493,4.139275,-25.25115,-49.9692,-149.3637
-4.021118,-7.57145,-22.2107,8.362409,8.96759,5.041303,4.276193,25,0.625,0.7651095,4.691397,4.086215,-25.40208,-50.33338,-150.4965
-4.175088,-8.109491,-23.9193,8.371936,8.866469,5.072438,4.088142,26,0.676,0.9842954,4.778327,4.283793,-24.6158,-48.99091,-146.5636
-4.191525,-8.397153,-24.85618,8.51218,9.015119,5.07967,4.193068,27,0.729,0.8866024,4.822051,4.319113,-25.15686,-50.32783,-150.6482
-4.183526,-8.716793,-26.36187,8.5781,9.219898,5.096944,4.283265,28,0.784,0.8136787,4.936633,4.294835,-25.59985,-51.54945,-154.8598
-4.019556,-8.476796,-25.92182,8.625509,9.275084,5.104809,4.412956,29,0.841,0.691853,4.862129,4.212554,-26.08434,-52.60635,-158.3105
,,,8.660081,,,,30,0.9,,,,,,
,,,8.645411,,,,31,0.961,,,,,,
,,,8.714239,,,,32,1.024,,,,,,
,,,8.754477,,,,33,1.089,,,,,,
,,,8.70963,,,,34,1.156,,,,,,
,,,8.722743,,,,35,1.225,,,,,,
,,,8.727454,,,,36,1.296,,,,,,
,,,8.747193,,,,37,1.369,,,,,,
,,,8.78661,,,,38,1.444,,,,,,
,,,8.672315,,,,39,1.521,,,,,,
,,,8.848366,,,,40,1.6
,,,8.881002,,,,41,1.681
,,,8.879612,,,,42,1.764
,,,8.893436,,,,43,1.849
,,,8.919721,,,,44,1.936
,,,8.863192,,,,45,2.025
,,,8.890962,,,,46,2.116
