dummy1,dummy2,dummy3,lag0,lag1,lag2,tariff,gprice,usprice,income,iprice,time,timesq,y,x1,x2,z0,z1,z2

0,1,0,,,,,,,,,,,,,,,,
0,0,1,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,
1,0,0,,,,0.0392207,,3.733614,6.749111,,1,0.001,,-3.015497,,,,
0,1,0,,,,0.0392207,,3.850998,6.778443,,2,0.004,,-2.927445,,,,
0,0,1,,,,0.0392207,,4.02016,6.809922,,3,0.009,,-2.789762,,,,
0,0,0,,,,0.0392207,,4.038656,6.814652,,4,0.016,,-2.775996,,,,
1,0,0,,,,0.0392207,,4.040592,6.83862,,5,0.025,,-2.798028,,,,
0,1,0,,,,0.0392207,,4.027849,6.867246,,6,0.036,,-2.839396,,,,
0,0,1,,,,0.0392207,,4.02016,6.894974,,7,0.049,,-2.874814,,,,
0,0,0,,,,0.0392207,,4.070052,6.919684,,8,0.064,,-2.849632,,,,
1,0,0,,,,0.0392207,,4.073462,6.950431,,9,0.081,,-2.876969,,,,
0,1,0,,,,0.0392207,,4.092176,6.970448,,10,0.1,,-2.878273,,,,
0,0,1,,,,0.0392207,,4.130837,6.992556,,11,0.121,,-2.861719,,,,
0,0,0,,,,0.0392207,,4.148517,7.022868,,12,0.144,,-2.874351,,,,
1,0,0,-5.728189,-11.58959,-34.904,0.0392207,,4.19132,7.06399,,13,0.169,,-2.87267,,-40.85204,-81.83728,-245.6471
0,1,0,-5.575518,-11.33734,-34.14285,0.0392207,,4.198855,7.082129,7.249215,14,0.196,0.1670866,-2.883274,,-40.79006,-81.76642,-245.4301
0,0,1,-5.427074,-11.09771,-33.44361,0.0392207,,4.258021,7.107098,7.274479,15,0.225,0.1673813,-2.849077,,-40.76646,-81.77648,-245.4799
0,0,0,-5.257957,-10.93111,-33.11871,0.0392207,,4.257172,7.138629,7.288244,16,0.256,0.1496148,-2.881457,,-40.755,-81.92519,-246.101
1,0,0,-5.046327,-10.56837,-32.13538,0,8.055514,4.28524,7.160224,7.37086,17,0.289,0.2106357,-2.874984,0.8952899,-40.84745,-82.17062,-246.9421
0,1,0,-4.705831,-9.965801,-30.40663,0,7.925928,4.311202,7.193836,7.480992,18,0.324,0.2871556,-2.882634,0.7320914,-40.67501,-81.90416,-246.2217
0,0,1,-4.293604,-9.344933,-28.6361,0,7.997915,4.334673,7.222055,7.549083,19,0.361,0.3270283,-2.887382,0.7758603,-40.40388,-81.56548,-245.2977
0,0,0,-3.933589,-8.596395,-26.51053,0,8.057999,4.343676,7.255167,7.618743,20,0.4,0.3635755,-2.911491,0.8028312,-40.20943,-81.14807,-244.1656
