dummy1,dummy2,dummy3,lag0,lag1,lag2,tariff,gprice,iprice,usprice,income,time,timesq,y,x1,x2,z0,z1,z2

0,1,0,,,,,,,,,,,,,,,,
0,0,1,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,
1,0,0,,,,0.0392207,,,3.733614,,1,0.001,,,,,,
0,1,0,,,,0.0392207,,,3.850998,,2,0.004,,,,,,
0,0,1,,,,0.0392207,,,4.02016,,3,0.009,,,,,,
0,0,0,,,,0.0392207,,,4.038656,,4,0.016,,,,,,
1,0,0,,,,0.0392207,,,4.040592,,5,0.025,,,,,,
0,1,0,,,,0.0392207,,,4.027849,,6,0.036,,,,,,
0,0,1,,,,0.0392207,,,4.02016,,7,0.049,,,,,,
0,0,0,,,,0.0392207,,,4.070052,,8,0.064,,,,,,
1,0,0,,,,0.0392207,,,4.073462,,9,0.081,,,,,,
0,1,0,,,,0.0392207,,,4.092176,,10,0.1,,,,,,
0,0,1,,,,0.0392207,,,4.130837,,11,0.121,,,,,,
0,0,0,,,,0.0392207,,,4.148517,,12,0.144,,,,,,
1,0,0,-5.728189,-11.58959,-34.904,0.0392207,,,4.19132,,13,0.169,,,,,,
0,1,0,-5.575518,-11.33734,-34.14285,0.0392207,,,4.198855,,14,0.196,,,,,,
0,0,1,-5.427074,-11.09771,-33.44361,0.0392207,,,4.258021,,15,0.225,,,,,,
0,0,0,-5.257957,-10.93111,-33.11871,0.0392207,,,4.257172,,16,0.256,,,,,,
1,0,0,-5.046327,-10.56837,-32.13538,0,8.055514,7.49443,4.28524,4.54086,17,0.289,2.95357,-0.2556195,3.514655,-27.75063,-55.97697,-168.3612
0,1,0,-4.705831,-9.965801,-30.40663,0,7.925928,7.534228,4.311202,4.529852,18,0.324,3.004376,-0.2186499,3.396076,-27.35509,-55.26432,-166.3022
0,0,1,-4.293604,-9.344933,-28.6361,0,7.997915,7.626083,4.334673,4.428407,19,0.361,3.197676,-0.0937338,3.569509,-26.43564,-53.629,-161.4883
0,0,0,-3.933589,-8.596395,-26.51053,0,8.057999,7.668094,4.343676,4.445682,20,0.4,3.222412,-0.102006,3.612317,-26.162,-53.05322,-159.881
1,0,0,-3.729585,-7.936373,-24.66886,0,7.93586,7.696667,4.390615,4.577083,21,0.441,3.119584,-0.1864681,3.358777,-26.615,-53.7072,-161.9814
0,1,0,-3.616364,-7.217789,-22.13151,0,8.04914,7.646832,4.393832,4.54181,22,0.484,3.105021,-0.1479778,3.50733,-26.32541,-52.63589,-158.3858
