lag0,lag1,lag2,iprice,usprice,tariff,income,time,timesq,z0,z1,z2,x1,y



,,,7.519085,,0.0392207,,1,0.001,,,,,
,,,7.64262,,0.0392207,,2,0.004,,,,,
,,,7.595649,,0.0392207,,3,0.009,,,,,
,,,7.660906,,0.0392207,,4,0.016,,,,,
,,,7.731334,,0.0392207,,5,0.025,,,,,
,,,7.638622,,0.0392207,,6,0.036,,,,,
,,,7.842656,,0.0392207,,7,0.049,,,,,
,,,7.77945,,0.0392207,,8,0.064,,,,,
,,,7.764551,,0.0392207,,9,0.081,,,,,
,,,7.804366,,0.0392207,,10,0.1,,,,,
,,,7.893602,,0.0392207,,11,0.121,,,,,
,,,7.826188,,0.0392207,,12,0.144,,,,,
-5.627709,-11.38863,-34.30112,7.892826,4.60369,0.0392207,3.389597,13,0.169,-22.37959,-44.8924,-134.8124,1.214092,4.503228
-5.533457,-11.25322,-33.89048,7.992188,4.629135,0.0392207,3.391861,14,0.196,-22.29666,-44.77962,-134.4697,1.237274,4.600327
-5.287386,-10.81833,-32.60548,8.034528,4.644623,0.0392207,3.53292,15,0.225,-22.75588,-45.75533,-137.4165,1.111703,4.501607
-5.087925,-10.59105,-32.09852,8.135734,4.659081,0.0392207,3.61555,16,0.256,-22.96957,-46.35434,-139.3884,1.04353,4.520184
-4.876296,-10.2283,-31.1152,8.156235,4.676445,0.0392207,3.650492,17,0.289,-22.93265,-46.34101,-139.4533,1.025953,4.505743
-4.61896,-9.792063,-29.88542,8.215331,4.70205,0.0392207,3.679186,18,0.324,-22.81879,-46.19172,-139.0844,1.022864,4.536145
-4.263116,-9.283957,-28.45317,8.269265,4.730902,0.0392207,3.672249,19,0.361,-22.42826,-45.61424,-137.444,1.058653,4.597016
-3.933589,-8.596395,-26.51053,8.382774,4.754971,0.0392207,3.729334,20,0.4,-22.38416,-45.49753,-137.2139,1.025637,4.65344
-3.775433,-8.02807,-24.94395,8.338258,4.775005,0.0392207,3.775082,21,0.441,-22.45474,-45.38669,-137.0198,0.9999225,4.563175
-3.70288,-7.390821,-22.65061,8.351602,4.806579,0.0392207,3.65334,22,0.484,-21.77348,-43.53201,-131.0742,1.153239,4.698262
-3.694237,-7.001545,-20.67435,8.38965,4.831895,0.0392207,3.591265,23,0.529,-21.45446,-42.52199,-127.2357,1.24063,4.798385
-3.886881,-7.240663,-21.17805,8.34223,4.849428,0.0392207,3.631107,24,0.576,-21.84631,-43.15953,-128.9346,1.21832,4.711123
-4.122131,-7.773477,-22.81678,8.354787,4.885825,0.0392207,3.509181,25,0.625,-21.47193,-42.47308,-126.9156,1.376644,4.845606
-4.225441,-8.210196,-24.22141,8.354053,4.916922,0.0392207,3.392764,26,0.676,-20.99316,-41.74563,-124.8277,1.524158,4.961288
-4.097135,-8.208374,-24.28985,8.455931,4.932164,0.0392207,3.363828,27,0.729,-20.72017,-41.45444,-124.0281,1.568336,5.092103
-4.039309,-8.428359,-25.49657,8.550386,4.95751,0.2231435,3.389417,28,0.784,-19.87068,-40.09109,-120.4848,1.568093,5.160969
